number,name,rank,limit,description,class,spellType
0,Ruler's Blessing (Blessing of Ruler),SS,1,"A castle given as a prize for winning the contest, town with population 10,000 included. Its residents will live according to whatever laws and commands you issue.",Specified Slot,null
1,Patch of Forest (Area of Dense Forest),SS,3,"The entrance to the giant forest called the ""Mountain God's Garden"" where many unique endemic species live. They are all tame and friendly.",Specified Slot,null
2,Plot of Beach (Strip of Beach),SS,3,"The entrance to a cave called ""Poseidon's Cavern."" The cave changes its path at each visit, confusing intruders.",Specified Slot,null
3,Pitcher of Eternal Water (Pot of Spring Water),A,17,"A jar from which pure, clean water (1440 L per day) continually flows.",Specified Slot,null
4,Skin Care Hot Springs (Beautiful Skin Spa),A,15,A hot spring that cures you of any skin condition. Bathing in it for half an hour a day gives you skin as soft and smooth as a baby's.,Specified Slot,null
5,Spirited Away Hollow (Cave of Mysterious Disappearance),S,8,Enter and then exit this hollow and you will be transported to a desolate location within the country. Circumstances will allow you to return to where you started without you having to spend any money.,Specified Slot,null
6,Liquor Spring (Fountain of liquor birth),A,15,Draw some of this spring's water and one hour later it will become a random alcoholic drink of exquisite taste and extraordinary quality.,Specified Slot,null
7,Pregnancy Stones (Stones of the Pregnant),S,10,"Carry a stone (weighing 7 lb. each) for one month and you will get pregnant, even if you're male. You may choose the sex of the baby by the female or male stone.",Specified Slot,null
8,Mystery Pond (Mysterious Pond),S,10,"Release one fish into this pond, and there will be one more fish of that type the next day. You can keep any combination of fish in this pond, even saltwater and freshwater fish together!",Specified Slot,null
9,Tree of Plenty (Tree of Good Harvest),S,20,"A tree that bears all sorts of fruit. No matter how much you harvest, it will be full again the next day. The type and number of fruit are random.",Specified Slot,null
10,Golden Guidebook,A,20,A travel guide that lists where and when you can meet people of the opposite sex who are your type.,Specified Slot,null
11,Golden Scales (Golden Balance),B,30,"When faced with a two-option choice, these scales will tell you which is better for your future.",Specified Slot,null
12,Golden Dictionary,S,10,Each day you will find a word glowing gold. You should learn those words because they will come in handy the next day.,Specified Slot,null
13,Luck Bankbook (Good Luck Passbook),A,20,"Refrain from using the little things of good luck in your daily life, and you can accumulate and convert them into cash.",Specified Slot,null
14,Connection Severing Scissors (Edge-Cutting Scissors),B,22,"Cut a picture of someone you don't want to see with these scissors, and you will never see them again. Caution: It will take effect on everyone in the picture (except yourself).",Specified Slot,null
15,Fickle Genie (Whimsical Majin),S,10,"This genie will grant you three wishes, but you need to suggest 1000 potential, significantly different wishes and he will choose three from among them. (No cheating by asking for different increments of money.)",Specified Slot,null
16,Fairy King's Advice (Advice King Fairy),S,6,"The Fairy King offers you gentle, apt advice on what you lack or what you should fix. The annoying thing is he appears when he wants to.",Specified Slot,null
17,Angel's Breath,SS,3,"She cures one person of all wounds and ills, restoring them to perfect health. She will only appear once.",Specified Slot,null
18,Imp's Wink (Wink of this Devil),A,18,"You will experience the most amazing ecstasy when she winks at you. She can appear multiple times. Be warned, it can get addictive.",Specified Slot,null
19,Poltergeist Pillow (Spirits of the Dead Pillow),A,13,"Sleep on this pillow and your astral form will be able to wander at will, but you will turn into a real ghost if you do not return to your body within 24 hours.",Specified Slot,null
20,Mood Clock (Mind Spirit Meter),B,30,This clock sets your current state of mind. Turn it to noon and you will maintain perfect serenity. Thus you can adjust your emotions according to the situation.,Specified Slot,null
21,X-Ray Goggles (Skeleton Spectacles),B,27,You can see through things. An adjustment dial allows you to set the x-ray depth. The only thing it cannot see through is a pack of spell cards from Masadora.,Specified Slot,null
22,Toraemon,A,22,"A beast on the verge of extinction, it has a habit of stuffing things in its 4-D pocket. You never know what kind of treasures it could have picked up.",Specified Slot,null
23,Tome of a Thousand Tales (Ad-lib Book),B,30,"A book that shows you a different story each time you open it. If you want to stay on the same story when you put it down, use the special included bookmark.",Specified Slot,null
24,Hypothetical T.V. (TV Moshimo),A,20,"Input a hypothetical situation with the included remote, and this TV will show you a 30-hour documentary of the possibilities. You are also able to record.",Specified Slot,null
25,Risky Dice (Risky Die),B,30,"A twenty-sided die with one skull face and 19 star faces. Great things happen when you roll a star, but rolling the skull will be bad enough to cancel out all the previous great events.",Specified Slot,null
26,Night Shift Dwarves (Seven Working Dwarves),A,20,"They can do any work you can do, and they will work as long as you are asleep. They cannot do anything beyond your abilities.",Specified Slot,null
27,Book of V.I.P Passes (Face Path Tickets),B,25,You can go anywhere with these passes. Book of 1000.,Specified Slot,null
28,Capricious Remote,S,13,"A remote control to manipulate ten emotions someone feels toward someone else, on an intensity scale of 1-10. (You cannot control how people feel toward you.)",Specified Slot,null
29,Pre-Order Vouchers (Forced Reservation Tickets),B,27,Write the name of any commercially available product on a voucher and you'll be guaranteed to get it regardless of its scarcity (You still have to pay). A book of 1000.,Specified Slot,null
30,Favor Cushion (Connection Cushion),B,21,"Seat someone on this cushion and he will do one thing for you, so long as it is within his capabilities.",Specified Slot,null
31,Double Postcard to the Dead (Return Postcard to the Dead),S,13,"Address and mail this return postage-paid postcard to a deceased person, and you will get a reply the next day. A book of 1000.",Specified Slot,null
32,Parrot Candy,B,30,"Sucking on this candy enables you to produce any voice. The effect lasts until you next ingest something. A set of 10 packs, 50 candies per pack.",Specified Slot,null
33,Hormone Cookies (Cookie Hormones),S,13,"After eating this candy, your sex will temporarily change for 24 hours. A set of 10 boxes; 20 cookies per box.",Specified Slot,null
34,University Survey (Anything Questionnaire),B,30,"Write various questions pertaining to yourself and give it to someone, and he will answer all questions honestly. Reusable.",Specified Slot,null
35,Chameleon Cat,S,6,"An endangered species. Once tamed, it can transform into any animal. However, its mass remains constant, so it will be a tiny elephant or a large hamster, for example.",Specified Slot,null
36,Recycling Room (The Recycle Room),S,10,Put something broken in this room and it will be repaired as good as new 24 hours later. The door must not be opened until time is up.,Specified Slot,null
37,Fledgling Athlete (Egg of Superb Athlete),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top athlete when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
38,Fledgling Artist (Egg of Superb Artist),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top artist when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
39,Fledgling Politician (Egg of Big-Shot Politician),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top politician when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
40,Fledgling Musician (Egg of Superb Musician),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top musician when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
41,Fledgling Pilot (Egg of Superb Pilot),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top pilot when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
42,Fledgling Novelist (Egg of Superb Writing),B,30,"Warm this magic egg in your hand for three hours a day for one to ten years, and you will become a top novelist when it hatches. The stronger your desire during incubation, the sooner it will hatch.",Specified Slot,null
